id,prediction,stock
0,137,1
1,5,20
2,47,22
3,97,23
4,91,31
5,88,43
6,111,17
7,65,37
8,150,47
9,91,26
10,141,45
11,44,9
12,35,42
13,142,34
14,140,6
15,121,48
16,97,47
17,26,30
18,73,46
19,126,6
20,57,28
21,103,24
22,22,50
23,8,13
24,26,48
25,83,33
26,80,28
27,13,9
28,14,26
29,63,18
30,25,43
31,87,31
32,77,49
33,79,7
34,90,32
35,97,38
36,54,32
37,130,14
38,69,36
39,73,1
40,105,12
41,53,36
42,40,21
43,136,33
44,143,23
45,34,32
46,67,40
47,94,6
48,10,10
49,72,36
50,107,5
51,146,19
52,117,42
53,102,27
54,57,22
55,107,24
56,97,49
57,35,39
58,1,9
59,40,41
60,37,36
61,113,38
62,89,16
63,149,27
64,106,6
65,125,3
66,41,48
67,102,49
68,122,5
69,69,36
70,11,4
71,16,11
72,49,34
73,143,20
74,98,6
75,128,45
76,84,29
77,90,24
78,143,9
79,82,26
80,93,28
81,46,23
82,80,3
83,43,26
84,81,46
85,12,16
86,129,27
87,120,1
88,142,9
89,119,17
90,128,36
91,119,12
92,147,44
93,30,49
94,84,39
95,93,22
96,121,25
97,134,49
98,68,33
99,2,14
100,61,12
101,50,24
102,17,39
103,21,14
104,68,39
105,6,34
106,79,30
107,34,45
108,56,29
109,75,19
110,130,3
111,110,38
112,130,2
113,2,22
114,91,19
115,26,32
116,126,39
117,47,39
118,54,6
119,87,10
120,81,30
121,113,7
122,88,16
123,109,9
124,73,42
125,85,47
126,62,32
127,112,28
128,110,22
129,125,10
130,6,24
131,121,25
132,74,4
133,113,13
134,122,21
135,149,7
136,5,15
137,117,8
138,46,35
139,142,21
140,84,20
141,142,12
142,50,48
143,149,1
144,138,13
145,64,22
146,4,30
147,139,20
148,57,5
149,75,31
150,98,7
151,143,47
152,77,49
153,137,5
154,5,20
155,15,36
156,55,7
157,104,43
158,146,23
159,42,29
160,44,6
161,62,25
162,104,17
163,32,49
164,16,18
165,37,22
166,128,44
167,113,17
168,57,30
169,67,9
170,124,10
171,148,2
172,97,16
173,121,22
174,3,4
175,45,19
176,32,2
177,53,4
178,118,8
179,68,12
180,84,25
181,1,23
182,61,36
183,35,42
184,99,35
185,2,9
186,65,20
187,138,46
188,104,35
189,43,13
190,40,40
191,2,19
192,65,29
193,124,31
194,35,48
195,41,44
196,108,20
197,73,50
198,144,22
199,25,7
200,76,7
201,33,42
202,102,48
203,21,32
204,110,43
205,94,10
206,20,37
207,99,12
208,76,11
209,105,46
210,15,11
211,113,15
212,18,40
213,74,18
214,68,47
215,134,7
216,19,41
217,127,30
218,129,45
219,145,41
220,35,22
221,137,32
222,148,40
223,49,14
224,33,47
225,82,20
226,134,31
227,125,48
228,125,48
229,76,4
230,135,23
231,20,27
232,139,33
233,21,4
234,56,42
235,31,38
236,35,18
237,138,34
238,92,18
239,24,35
240,82,11
241,75,26
242,89,10
243,132,8
244,76,41
245,82,39
246,16,17
247,37,10
248,40,44
249,94,46
250,39,49
251,71,30
252,81,9
253,6,33
254,66,31
255,18,31
256,144,27
257,87,5
258,131,27
259,126,45
260,131,33
261,43,46
262,60,28
263,63,9
264,60,48
265,71,50
266,97,38
267,136,11
268,61,12
269,80,46
270,16,25
271,116,43
272,67,24
273,123,17
274,79,47
275,5,25
276,62,27
277,99,21
278,133,21
279,140,47
280,124,23
281,122,31
282,102,50
283,49,24
284,60,42
285,11,7
286,72,23
287,71,47
